Customer Name,Customer Plan
Susan Shea,Basic
Sydney Nelson,Basic
Tamara May,Basic
Tanya Taylor,Basic
Tara Cantu,Basic
Tara Jones DDS,Basic
Tara Lee,Basic
Tasha Rose,Basic
Taylor Brown,Basic
Taylor Campbell,Basic
Taylor Castillo,Basic
Taylor Hernandez,Basic
Taylor Lee,Basic
Taylor Simpson,Basic
Teresa Nichols,Basic
Teresa Torres,Basic
Terri Baker,Basic
Terri Cunningham,Basic
Terri Donaldson,Basic
Terry Brooks,Basic
Terry Byrd,Basic
Terry Lawrence,Basic
Theodore White,Basic
Theresa Booth,Basic
Thomas Anderson,Basic
Thomas Glass,Basic
Thomas Gonzales,Basic
Thomas Powers,Basic
Thomas Spencer,Basic
Thomas Wilson,Basic
Thomas Wood,Basic
Tiffany Carter,Basic
Tiffany Haley,Basic
Tiffany Hill,Basic
Tiffany Johnson,Basic
Tiffany Rowe,Basic
Tiffany Snyder,Basic
Tiffany Williams,Basic
Tim Burns,Basic
Timothy Boone,Basic
Timothy Burnett,Basic
Timothy Fleming,Basic
Timothy Graham,Basic
Timothy Howard,Basic
Timothy Lopez,Basic
Timothy Preston,Basic
Timothy Robinson,Basic
Tina Flores,Basic
Tina Park,Basic
Todd Macias,Basic
Toni Young,Basic
Tracey Henderson,Basic
Tracey Wood,Basic
Tracie Johnson,Basic
Tracy Diaz,Basic
Tracy Jordan,Basic
Tracy Patton,Basic
Tracy Simpson,Basic
Travis Boyd,Basic
Travis Garcia,Basic
Travis Humphrey,Basic
Travis Jackson,Basic
Travis Murphy,Basic
Travis Werner,Basic
Travis White,Basic
Trevor Garrison,Basic
Troy Ferguson,Basic
Troy Lamb,Basic
Tyler Blair,Basic
Tyler Cervantes,Basic
Tyler Larsen,Basic
Tyler Long,Basic
Valerie Davis,Basic
Valerie Martinez,Basic
Vanessa Khan,Basic
Vanessa Lewis MD,Basic
Vanessa Reilly,Basic
Vanessa Schultz,Basic
Veronica Clements,Basic
Vickie Richmond,Basic
Victor Andrews,Basic
Victor Bailey,Basic
Victor Henry,Basic
Victor Williams,Basic
Victoria Gallagher,Basic
Victoria Morrow,Basic
Victoria Vaughn,Basic
Vincent Harmon,Basic
Virginia Stokes,Basic
Wayne Todd,Basic
Wendy Sanchez,Basic
Wesley Green,Basic
Whitney Ferguson,Basic
Whitney Patton,Basic
Whitney Yates,Basic
William Coleman,Basic
William Harvey,Basic
William Jensen,Basic
William Meyer,Basic
William Munoz,Basic
William Roberts,Basic
William Rojas,Basic
William Russell,Basic
William Sanchez,Basic
William Simpson,Basic
William Williams,Basic
Willie Cross,Basic
Willie Stone,Basic
Yvette Cole,Basic
Zachary Clark,Basic
Zachary Gray,Basic
